name,datetime (utc timezone),fan_count
bnk48official.satchan,2018-05-31 09:00:00,129288
bnk48official.tarwaan,2018-05-31 09:00:00,126880
bnk48official.namneung,2018-05-31 09:00:00,124501
bnk48official.pupe,2018-05-31 09:00:00,117014
bnk48official.can,2018-05-31 09:00:00,105822
bnk48official.namsai,2018-05-31 09:00:00,98328
bnk48official.miori,2018-05-31 09:00:00,85355
bnk48official.mewnich,2018-05-31 09:00:00,84173
bnk48official.jane,2018-05-31 09:00:00,76772
bnk48official.korn,2018-05-31 09:00:00,74610
bnk48official.mind,2018-05-31 09:00:00,71125
bnk48official.maysa,2018-05-31 09:00:00,69578
bnk48official.nink,2018-05-31 09:00:00,63058
bnk48official.jaa,2018-05-31 09:00:00,59559
bnk48official.piam,2018-05-31 09:00:00,58852
bnk48official.izutarina,2018-05-31 09:00:00,54393
bnk48official.jib,2018-05-31 09:00:00,47461
bnk48official.fond,2018-05-31 09:00:00,47444
bnk48official.ratah,2018-05-31 09:00:00,43157
bnk48official.kate,2018-05-31 09:00:00,40088
bnk48official.june,2018-05-31 09:00:00,35830
bnk48official.bamboo,2018-05-31 09:00:00,25015
bnk48official.cake,2018-05-31 09:00:00,20677
bnk48official.panda,2018-05-31 09:00:00,19509
bnk48official.wee,2018-05-31 09:00:00,18835
bnk48official.phukkhom,2018-05-31 09:00:00,15865
bnk48official.kheng,2018-05-31 09:00:00,15391
bnk48official.new,2018-05-31 09:00:00,14843
bnk48official.niky,2018-05-31 09:00:00,13770
bnk48official.natherine,2018-05-31 09:00:00,13626
pakwan.bnk48official,2018-05-31 09:00:00,13612
bnk48official.stang,2018-05-31 09:00:00,13040
bnk48official.oom,2018-05-31 09:00:00,12917
bnk48official.aom,2018-05-31 09:00:00,12787
bnk48official.view,2018-05-31 09:00:00,12765
bnk48official.faii,2018-05-31 09:00:00,12677
bnk48official.minmin,2018-05-31 09:00:00,11482
bnk48official.maira,2018-05-31 09:00:00,10276
bnk48official.deenee,2018-05-31 09:00:00,10168
bnk48official.gygee,2018-05-31 09:00:00,9701
bnk48official.myyu,2018-05-31 09:00:00,9279
bnk48official.khamin,2018-05-31 09:00:00,9257
bnk48official.nine,2018-05-31 09:00:00,7205
bnk48official.fifa,2018-05-31 09:00:00,5549
bnk48official.pun,2018-05-31 08:00:00,455561
bnk48official.cherprang,2018-05-31 08:00:00,415279
bnk48official.orn,2018-05-31 08:00:00,266602
bnk48official.noey,2018-05-31 08:00:00,213443
bnk48official.jennis,2018-05-31 08:00:00,209483
bnk48official.music,2018-05-31 08:00:00,204450
bnk48official.kaimook,2018-05-31 08:00:00,202197
bnk48official.mobile,2018-05-31 08:00:00,201853
bnk48official.kaew,2018-05-31 08:00:00,165851
bnk48official.jan,2018-05-31 08:00:00,134484
bnk48official.satchan,2018-05-31 08:00:00,129282
bnk48official.tarwaan,2018-05-31 08:00:00,126866
bnk48official.namneung,2018-05-31 08:00:00,124492
bnk48official.pupe,2018-05-31 08:00:00,117003
bnk48official.can,2018-05-31 08:00:00,105816
bnk48official.namsai,2018-05-31 08:00:00,98324
bnk48official.miori,2018-05-31 08:00:00,85347
bnk48official.mewnich,2018-05-31 08:00:00,84141
bnk48official.jane,2018-05-31 08:00:00,76742
bnk48official.korn,2018-05-31 08:00:00,74602
bnk48official.mind,2018-05-31 08:00:00,71108
bnk48official.maysa,2018-05-31 08:00:00,69570
bnk48official.nink,2018-05-31 08:00:00,63050
bnk48official.jaa,2018-05-31 08:00:00,59550
bnk48official.piam,2018-05-31 08:00:00,58845
bnk48official.izutarina,2018-05-31 08:00:00,54387
bnk48official.jib,2018-05-31 08:00:00,47455
bnk48official.fond,2018-05-31 08:00:00,47428
bnk48official.ratah,2018-05-31 08:00:00,43152
bnk48official.kate,2018-05-31 08:00:00,40086
bnk48official.june,2018-05-31 08:00:00,35822
bnk48official.bamboo,2018-05-31 08:00:00,24999
bnk48official.cake,2018-05-31 08:00:00,20667
bnk48official.panda,2018-05-31 08:00:00,19500
bnk48official.wee,2018-05-31 08:00:00,18825
bnk48official.phukkhom,2018-05-31 08:00:00,15861
bnk48official.kheng,2018-05-31 08:00:00,15384
bnk48official.new,2018-05-31 08:00:00,14835
bnk48official.niky,2018-05-31 08:00:00,13763
bnk48official.natherine,2018-05-31 08:00:00,13615
pakwan.bnk48official,2018-05-31 08:00:00,13609
bnk48official.oom,2018-05-31 08:00:00,12909
bnk48official.stang,2018-05-31 08:00:00,12850
bnk48official.aom,2018-05-31 08:00:00,12778
bnk48official.view,2018-05-31 08:00:00,12758
bnk48official.faii,2018-05-31 08:00:00,12669
bnk48official.minmin,2018-05-31 08:00:00,11416
bnk48official.maira,2018-05-31 08:00:00,10268
bnk48official.deenee,2018-05-31 08:00:00,10163
bnk48official.gygee,2018-05-31 08:00:00,9693
bnk48official.myyu,2018-05-31 08:00:00,9270
bnk48official.khamin,2018-05-31 08:00:00,9252
bnk48official.nine,2018-05-31 08:00:00,7196
bnk48official.fifa,2018-05-31 08:00:00,5540
bnk48official.pun,2018-05-31 07:00:00,455541
bnk48official.cherprang,2018-05-31 07:00:00,415253
bnk48official.orn,2018-05-31 07:00:00,266588
bnk48official.noey,2018-05-31 07:00:00,213432
bnk48official.jennis,2018-05-31 07:00:00,209465
bnk48official.music,2018-05-31 07:00:00,204446
bnk48official.kaimook,2018-05-31 07:00:00,202183
bnk48official.mobile,2018-05-31 07:00:00,201831
bnk48official.kaew,2018-05-31 07:00:00,165831
bnk48official.jan,2018-05-31 07:00:00,134477
bnk48official.satchan,2018-05-31 07:00:00,129278
bnk48official.tarwaan,2018-05-31 07:00:00,126857
bnk48official.namneung,2018-05-31 07:00:00,124482
bnk48official.pupe,2018-05-31 07:00:00,116989
bnk48official.can,2018-05-31 07:00:00,105809
bnk48official.namsai,2018-05-31 07:00:00,98313
bnk48official.miori,2018-05-31 07:00:00,85346
bnk48official.mewnich,2018-05-31 07:00:00,84121
bnk48official.jane,2018-05-31 07:00:00,76706
bnk48official.korn,2018-05-31 07:00:00,74591
bnk48official.mind,2018-05-31 07:00:00,71092
bnk48official.maysa,2018-05-31 07:00:00,69560
bnk48official.nink,2018-05-31 07:00:00,63046
bnk48official.jaa,2018-05-31 07:00:00,59543
bnk48official.piam,2018-05-31 07:00:00,58840
bnk48official.izutarina,2018-05-31 07:00:00,54382
bnk48official.jib,2018-05-31 07:00:00,47449
bnk48official.fond,2018-05-31 07:00:00,47422
bnk48official.ratah,2018-05-31 07:00:00,43146
bnk48official.kate,2018-05-31 07:00:00,40084
bnk48official.june,2018-05-31 07:00:00,35812
bnk48official.bamboo,2018-05-31 07:00:00,24985
bnk48official.cake,2018-05-31 07:00:00,20664
bnk48official.panda,2018-05-31 07:00:00,19497
bnk48official.wee,2018-05-31 07:00:00,18822
bnk48official.phukkhom,2018-05-31 07:00:00,15856
bnk48official.kheng,2018-05-31 07:00:00,15379
bnk48official.new,2018-05-31 07:00:00,14831
bnk48official.niky,2018-05-31 07:00:00,13755
bnk48official.natherine,2018-05-31 07:00:00,13611
pakwan.bnk48official,2018-05-31 07:00:00,13607
bnk48official.oom,2018-05-31 07:00:00,12905
bnk48official.aom,2018-05-31 07:00:00,12772
bnk48official.view,2018-05-31 07:00:00,12756
bnk48official.faii,2018-05-31 07:00:00,12663
bnk48official.stang,2018-05-31 07:00:00,12660
bnk48official.minmin,2018-05-31 07:00:00,11376
bnk48official.maira,2018-05-31 07:00:00,10267
bnk48official.deenee,2018-05-31 07:00:00,10160
bnk48official.gygee,2018-05-31 07:00:00,9690
bnk48official.myyu,2018-05-31 07:00:00,9267
bnk48official.khamin,2018-05-31 07:00:00,9247
bnk48official.nine,2018-05-31 07:00:00,7189
bnk48official.fifa,2018-05-31 07:00:00,5534
bnk48official.pun,2018-05-31 06:00:00,455524
bnk48official.cherprang,2018-05-31 06:00:00,415221
bnk48official.orn,2018-05-31 06:00:00,266567
bnk48official.noey,2018-05-31 06:00:00,213422
